County,2008_Tot_O_D,2008_Euth_D,2008_DL_D,2008_T_D,2008_RH_D,2008_RTO_D,2008_Ad_D,2008_Tot_O_C,2008_Euth_C,2008_DL_C,2008_T_C,2008_RTO_C,2008_RH_C,2008_Ad_C,2009_Tot_O_D,2009_Euth_D,2009_DL_D,2009_T_D,2009_RH_D,2009_RTO_D,2009_Ad_D,2009_Tot_O_C,2009_Euth_C,2009_DL_C,2009_T_C,2009_RTO_C,2009_RH_C,2009_Ad_C,2010_Tot_O_D,2010_Euth_D,2010_DL_D,2010_T_D,2010_RH_D,2010_RTO_D,2010_Ad_D,2010_Tot_O_C,2010_Euth_C,2010_DL_C,2010_T_C,2010_RTO_C,2010_RH_C,2010_Ad_C,2011_Tot_O_D,2011_Euth_D,2011_DL_D,2011_T_D,2011_RH_D,2011_RTO_D,2011_Ad_D,2011_Tot_O_C,2011_Euth_C,2011_DL_C,2011_T_C,2011_RTO_C,2011_RH_C,2011_Ad_C,2012_Tot_O_D,2012_Euth_D,2012_DL_D,2012_T_D,2012_RH_D,2012_RTO_D,2012_Ad_D,2012_Tot_O_C,2012_Euth_C,2012_DL_C,2012_T_C,2012_RTO_C,2012_RH_C,2012_Ad_C,2013_Tot_O_D,2013_Euth_D,2013_DL_D,2013_T_D,2013_RH_D,2013_RTO_D,2013_Ad_D,2013_Tot_O_C,2013_Euth_C,2013_DL_C,2013_T_C,2013_RTO_C,2013_RH_C,2013_Ad_C,2014_Tot_O_D,2014_Euth_D,2014_DL_D,2014_T_D,2014_RH_D,2014_RTO_D,2014_Ad_D,2014_Tot_O_C,2014_Euth_C,2014_DL_C,2014_T_C,2014_RTO_C,2014_RH_C,2014_Ad_C
Alachua,5836,1457,48,1148,,571,2642,5325,2054,153,1198,88,,1844,5990,1353,35,1293,,748,2601,5731,2444,84,1206,152,,1869,5312,1186,48,1210,0,515,2388,4550,1769,113,1112,105,0,1478,4821,1060,32,1213,0,437,2114,4690,1213,72,1512,104,0,1812,4838,780,22,1256,,431,2381,4251,350,66,2005,156,,1696,5053,485,53,1377,,487,2687,4510,289,84,1982,68,,2104,5109,431,38,1007,,528,3140,4261,362,84,1326,122,,2386
Alameda,5969,1778,34,926,,936,2305,6832,1513,192,812,144,,4193,6488,1492,198,1215,,989,2608,7807,1428,327,1155,193,,4717,13117,3547,48,2113,0,2570,5114,15367,4993,222,2906,351,215,6954,12413,3477,43,2022,0,2471,4615,14489,4133,248,2784,352,539,6658,13249,3512,44,2440,0,2415,5057,14310,3675,135,3205,318,781,6379,13312,3068,15,2885,0,2315,5288,14976,3754,148,3254,318,948,6734,12331,2222,47,3117,0,2289,4842,13900,3032,145,3234,336,839,6475
Albemarle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,126,15,22,0,468,1090,2083,185,88,29,78,0,1703,1735,107,17,31,,519,1061,2057,137,91,12,58,,1759,1816,123,7,49,,552,1086,1897,110,69,39,68,,1611,1666,52,15,48,0,489,1062,1939,89,61,28,84,0,1677,1676,40,9,35,0,516,1076,1801,106,51,20,85,0,1539
Allen,5875,3080,30,192,,1630,1195,9159,7641,141,93,183,,1207,5688,2908,79,323,,1446,1209,8812,7374,144,174,175,,1115,5538,2666,91,292,0,1692,1111,8272,7116,134,93,172,0,1009,5986,2978,71,252,0,1856,1118,8116,6711,32,277,199,0,1096,5540,2300,83,434,0,1770,1259,7812,6031,70,282,246,0,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arapahoe,40044,8118,171,1868,,9825,21023,31279,10470,471,1769,3579,,16168,33638,7381,111,1896,,9159,17283,28842,10252,487,1801,2667,,14791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,5124,2525,84,556,,661,1299,4314,3067,90,287,36,,834,4248,2028,54,471,,533,1162,3861,2877,116,167,29,,672,3756,1621,55,539,0,538,1003,3647,2640,84,320,41,47,515,3284,1462,94,464,3,469,792,2748,1966,83,241,42,3,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernalillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17628,3996,74,222,0,3570,9769,12404,5668,149,149,495,0,5943,17634,3746,90,465,0,3402,9931,12410,3801,167,1566,360,0,6516,17912,3075,87,960,0,3326,10464,10353,1569,144,2176,319,0,6145,17589,2567,106,1142,0,3542,10232,8980,926,178,2155,352,1,5368,,,,,,,,,,,,,,
Bexar,34489,17769,598,3232,,2232,10952,14132,7367,403,1483,208,,4731,26087,13085,132,2221,,1847,9208,9501,4349,129,970,259,,3864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,6996,4051,476,593,,739,1188,3046,2189,265,26,27,,622,1679,650,8,140,,433,479,1373,1006,37,39,16,,318,1844,785,14,130,0,384,568,1389,867,27,52,12,0,497,1640,759,42,108,0,397,378,1093,825,16,57,9,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,80,6,423,0,275,534,908,198,61,56,4,0,590,1453,65,10,505,0,281,592,1014,143,161,38,12,0,660,1385,90,10,450,0,229,608,1086,246,147,40,18,0,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
