SH_ID,SH_NAME
AARS,Arizona Animal Rescue and Sanctuary
AAWD,Albuquerque Animal Welfare Department
AAWL,Arizona Animal Welfare League
ABRN,All Breed Rescue Network
ABRV,All Breed Rescue
ACA,Alley Cat Angels
ACAC,Adams County Animal Control
ACCNYC,Animal Care and Control of NYC
ACHS,Alachua County Humane Society
ACMC,Animal Center of Moore County
ACPS,Animal Care & Protective Services
ACS,Anti Cruelty Society
ACSPCA,Allen County SPCA
ADAR,Alabamians Defending Animal Rights
ADL,Animal Defense League
AFC,Animal Friends Connection
AFRP,Animal Friends Rescue Project
AHA,"Asians for Humans, Animals, and Nature"
AHAZ,Almost Home Boxer Rescue
AHNM,Animal Humane New Mexico
AHO,Almost Home Adoptions
AHS,Arizona Humane Society
AMCAC,Amelia County Animal Control and Pound Facility
ANLOL,"A New Leash on Life, Inc."
ANRF,Animal Rescue Foundation CO
ANTR,A New Tail Rescue
APA,Austin Pets Alive!
APCACS,Aspen/Pitkin County Animal Control and Shelter
APR,Arizona Poodle Rescue
APS,Animal Protection Society of Durham
AR,Akita Rescue
ARC,Animal Rescue Center
ARCTR,"Animal Refuge Center, Inc."
ARER,Animal Refugee Response
ARF,Animal Rescue Foundation
ARK,The ARK
ARR,Animal Rescue Recon
AUAS,Austin Animal Services
AWL,Animal Welfare League
AWP,Angels with Paws
BABARK,Bay Area Rescued Kanines
BAC,Birmingham Animal Control
BACAC,Baldwin County Animal Control Center
BACRF,Bay Area Cat Rescue Foundation
BACS,Berkeley Animal Care Services
BAD,BAD RAP
BAGSR,Bay Area German Shepherd Rescue
BARK,Bandit's Adoption and Rescue of K9's
BASHR,Bay Area Siberian Husky Rescue
BBRH,Basset & Beagle Rescue of the Heartland
BCAC,Bullhead City Animal Control
BCAS,Buffalo City Animal Shelter
BCHS,Baldwin County Humane Society
BDSC,Black Dog Second Chance
BEBHS,Berkeley East Bay Humane Society
BHCR,Bee Holistic Cat Rescue
BHS,Buffalo Humane Society
BIG,Big Dawgs Rescue
BTAC,Bloomfield Township Animal Control
CAAS,City of Aurora Animal Shelter
CAC,Cedaredge Animal Control
CACC,Chicago Animal Care and Control
CANAS,City of Antioch Animal Services
CAR,Colorado Animal Rescue
CASPCA,Charlottesville Albemarle SPCA
CAT,Cat Adoption Team
CATSN,Cat Support Network
CATT,Cat Town
CBMAC,City of Bay Minette Animal Control
CCAC,Calhoun County Animal Center
CCACC,Calhoun County Animal Control Center
CCAS,Converse Animal Shelter
CCC,Community Concern for Cats
CCCAS,Contra Costa County Animal Services
CCDS,Clackamas County Dog Services
CCHS,Contra Costa Humane Society
CCS,Cat Care Society
CCSPCA,Contra Costa SPCA
CDAS,City of Delta Animal Services
CDR,Copper's Dream Rescue
CFAC,City of Fairhope Animal Control
CFC,Caring for Canines
CH,Challenger's House
CHAC,Colonial Heights Animal Control and Pound Facility
CHAS,City of Huntsville Animal Services
CLAC,City of Lynchburg Animal Control
CLAWS,Cats League and Assistance of the Western Slope
CM,Cat Matchers
CMAC,City of Madison Animal Control
CMAS,City of Mobile Animal Shelter
CMHAS,City of Madison Heights Animal Shelter
CN,"The Cat Network, Inc."
COAAS,City of Alameda Animal Shelter
COSAS,City of Saraland Animal Shelter
CPAC,Chesterfield Police Animal Control Unit
CPBR,California Pit Bull Rescue
CPC,Community Pet Center
CPR,California Pitbull Rescue
CRCS,Canine Rehabilitation Center and Sanctuary
CSAS,City of Salinas Animal Services
CSAS,City of Salinas Animal Services
CSAS,City of Salinas Animal Services
CTYPR,City of Prichard Animal Control
CTYPR,City of Prichard Animal Control
CTYPR,City of Prichard Animal Control
CTYPR,City of Prichard Animal Control
CTYPR,City of Prichard Animal Control
CUCAC,Cumberland County Animal Control and Pound Facility
CUCAC,Cumberland County Animal Control and Pound Facility
CVHS,Central Vermont Humane Society
CVHS,Central Vermont Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DACHS,Dane County Humane Society
DALAS,Dallas Animal Services
DALAS,Dallas Animal Services
DALAS,Dallas Animal Services
DALAS,Dallas Animal Services
DALAS,Dallas Animal Services
DALAS,Dallas Animal Services
DAS,Daphne Animal Shelter
DAS,Daphne Animal Shelter
DAS,Daphne Animal Shelter
DAS,Daphne Animal Shelter
DASH,Delta Animals Safe Haven
DASH,Delta Animals Safe Haven
DASH,Delta Animals Safe Haven
DASH,Delta Animals Safe Haven
DCAC ,Dinwiddie County Animal Control and Pound Facility
DCAC ,Dinwiddie County Animal Control and Pound Facility
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCFF,Dane County Friends of Ferals
DCHS,Delta County Humane Society
DCHS,Delta County Humane Society
DCHS,Delta County Humane Society
DCHS,Delta County Humane Society
DCSD,Delta County Sheriff's Department Animal Control
DCSD,Delta County Sheriff's Department Animal Control
DCSD,Delta County Sheriff's Department Animal Control
DCSD,Delta County Sheriff's Department Animal Control
DFL,Denver Dumb Friends League
DFL,Denver Dumb Friends League
DFL,Denver Dumb Friends League
DHS,Dubuque Regional Humane Society
DHS,Dubuque Regional Humane Society
DHS,Dubuque Regional Humane Society
DMAS,Denver Municipal Animal Shelter
DMAS,Denver Municipal Animal Shelter
DMAS,Denver Municipal Animal Shelter
DPR,Dusty Paws Rescue
DPR,Dusty Paws Rescue
DPR,Dusty Paws Rescue
DRN,Doberman Rescue of Nebraska
DRN,Doberman Rescue of Nebraska
DRN,Doberman Rescue of Nebraska
DRN,Doberman Rescue of Nebraska
DRN,Doberman Rescue of Nebraska
E,EnchantMutts
E,EnchantMutts
EASTCAS,East County Animal Shelter
EASTCAS,East County Animal Shelter
EASTCAS,East County Animal Shelter
EASTCAS,East County Animal Shelter
EASTCAS,East County Animal Shelter
EBARR,East Bay Animal Rescue and Refuge
EBARR,East Bay Animal Rescue and Refuge
EBARR,East Bay Animal Rescue and Refuge
EBARR,East Bay Animal Rescue and Refuge
EBARR,East Bay Animal Rescue and Refuge
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
EBSPCA,East Bay SPCA
ECAS,Eagle County Animal Services
ECAS,Eagle County Animal Services
ECAS,Eagle County Animal Services
ECAS,Eagle County Animal Services
ECAS,Eagle County Animal Services
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
ECSPCA,Erie County SPCA
EOE,East of Eden K-9 Rescue
EOE,East of Eden K-9 Rescue
EOE,East of Eden K-9 Rescue
ESPAC,Espanola Animal Control
ESPAC,Espanola Animal Control
EVHS,Eagle Valley Humane Society
EVHS,Eagle Valley Humane Society
EVHS,Eagle Valley Humane Society
EVHS,Eagle Valley Humane Society
EVHS,Eagle Valley Humane Society
EVHSA,Espanola Valley Humane Society
EVHSA,Espanola Valley Humane Society
F,Felines
F,Felines
F,Felines
F,Felines
F,Felines
F&F,Felines and Friends 
F&F,Felines and Friends 
FAC,Ferndale Animal Control
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FAR,Foothills Animal Rescue
FCAL,Four Corners Animal League 
FCAL,Four Corners Animal League 
FCF,Feral Cat Foundation
FCF,Feral Cat Foundation
FCF,Feral Cat Foundation
FCF,Feral Cat Foundation
FCF,Feral Cat Foundation
FCHS,Franklin County Humane Society
FCHS,Franklin County Humane Society
FEAR,FurEver Animal Rescue
FEAR,FurEver Animal Rescue
FEAR,FurEver Animal Rescue
FF,Friends Forever
FF,Friends Forever
FF,Friends Forever
FFCCA,Feral Friends Community Cat Alliance
FFCCA,Feral Friends Community Cat Alliance
FFCCA,Feral Friends Community Cat Alliance
FFCCA,Feral Friends Community Cat Alliance
FFCCA,Feral Friends Community Cat Alliance
FFCCA,Feral Friends Community Cat Alliance
FFD,Finding Fido
FFR,Furever Friends Rescue
FFR,Furever Friends Rescue
FFRSQ,Furry Friends Rescue
FFRSQ,Furry Friends Rescue
FFRSQ,Furry Friends Rescue
FFRSQ,Furry Friends Rescue
FFRSQ,Furry Friends Rescue
FKR,Fearless Kitty Rescue
FKR,Fearless Kitty Rescue
FLPII,For the Luv of Paws II Inc.
FLPII,For the Luv of Paws II Inc.
FLPII,For the Luv of Paws II Inc.
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FOMAS,Friends of the Mobile Animal Shelter
FORF,Forgotten Felines
FORF,Forgotten Felines
FORF,Forgotten Felines
FOSMAS,Friends of San Martin Animal Shelter
FP,Froggies Pond
FRAS,Friends of the Rifle Animal Shelter
FRAS,Friends of the Rifle Animal Shelter
FRAS,Friends of the Rifle Animal Shelter
FRAS,Friends of the Rifle Animal Shelter
FREMTAS,Fremont Animal Services
FREMTAS,Fremont Animal Services
FREMTAS,Fremont Animal Services
FREMTAS,Fremont Animal Services
FREMTAS,Fremont Animal Services
FWACC,Fort Wayne Animal Care and Control
FWACC,Fort Wayne Animal Care and Control
FWACC,Fort Wayne Animal Care and Control
FWACC,Fort Wayne Animal Care and Control
FWACC,Fort Wayne Animal Care and Control
GCAC,Goochland County Animal Control and Pound Facility
GCAC,Goochland County Animal Control and Pound Facility
GCAS,Grant County Animal Shelter
GCAS,Grant County Animal Shelter
GCAS,Grant County Animal Shelter
